position,skills,experience,company_name,job_locations,education,job_type,workplace,vacancies,salary,posted_date,deadline,source,job_url
Service Manager,Monitoring; Reporting; Supervisory Skill; Coordination; Customer Relationship,At least 8 years The applicants should have experience in the following business area(s): IT Enabled Service,Zara Zaman Technology Ltd.,Dhaka,"Bachelor of Science (BSc) in Electrical & Electronic Engineering, Computer Science & Engineering",FullTime,Office,1,Negotiable,2026-09-07,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1529136
Backend Software Developer,REST API; Java; SPRING boot; SQL; Next.js; React.js,3 to 5 years,Zolo Inc.,Anywhere in Bangladesh,,FullTime,,1,--,2026-09-07,2026-10-03,bdjobs.com,https://bdjobs.com/h/details/1529470
Intern - IT - Genesis Fashion Ltd.,Coordination; Cost control; Garment Technology; Process optimization; Production Planning; Quality Assurance; Sewing quality,NA,M & J Group,Gazipur,"Bachelor`s degree in Computer Science, Data Science, Artificial Intelligence, Software Engineering, or related field.",FullTime,Office,3,Negotiable,2026-09-07,2026-10-07,bdjobs.com,https://bdjobs.com/h/details/1530690
Data Monitoring Officer,Data Management; Data analysis; Google Sheets; Data Validation,At most 1 year,SHINKHAI Tech Solutions Ltd,Dhaka (Badda),Bachelor of Science (BSc) in Computer Science & Engineering B.Sc. in Computer Science & Engineering (CSE) is required.,FullTime,Office,1,Tk. 18000 - 20000 (Monthly),2026-09-07,2026-10-07,bdjobs.com,https://bdjobs.com/h/details/1529065
Project Manager,Communication and interpersonal skill; Leadership; Planning and organizing; Problem solving and decision making; Reporting and Documentation; Project Management; Project Planning; Project Coordination; Budget Management; Resource Management; Risk Management,"2 to 5 years The applicants should have experience in the following business area(s): Software Company, IT Enabled Service, Business-to-Business (B2B) Software and Services Startup, Govt./ Semi Govt./ Autonomous body",RK Software Bangladesh Limited,Anywhere in Bangladesh,Bachelor of Science (BSc) in Computer Science & Engineering Bachelor in Engineering (BEngg),FullTime,,2,Negotiable,2026-09-07,2026-10-07,bdjobs.com,https://bdjobs.com/h/details/1530678
"Engineer, IT Support",Infrastructure Engineer; IT Help Desk; IT Infrastructure; IT Infrastructure and Network Implementation; IT Support Service,"At least 3 years The applicants should have experience in the following business area(s): Garments, Group of Companies, Manufacturing (FMCG), Multinational Companies, Pharmaceutical/Medicine Companies, Telecommunication, Textile, Woven Manufacturing",Gildan-G.A.B. Limited,Dhaka (Savar),"Bachelor of Science (BSc) in Computer Science & Engineering, Electronics and Telecommunication Engineering",FullTime,Office,1,Negotiable,2026-09-07,2026-10-06,bdjobs.com,https://bdjobs.com/h/details/1530121
"Sr. Executive, IT",Communication and interpersonal skill; Computer Troubleshooting; Configuring WiFi router; Hardware & Networking; Installation of CC Camera; IP Camera; Router configuration; Server Management; Troubleshooting; Windows Server; CCTV; Installation; Erection; Network Engineering; Switches,3 to 5 years The applicants should have experience in the following business area(s): Pharmaceutical/Medicine Companies,Nipa Pharmaceuticals Ltd.,Dhaka,Diploma in Computer in Computer Science & Engineering Bachelor of Science (BSc) in Computer Science & Engineering,FullTime,,1,Negotiable,2026-09-07,2026-10-07,bdjobs.com,https://bdjobs.com/h/details/1530562
Software Programmer- PHP and Oracle apex Developer (Laravel and CodeIgniter),Access Control; Software Development; Technical Documentation,"3 to 6 years The applicants should have experience in the following business area(s): Software Company, IT Enabled Service, Garments, Real Estate, Group of Companies, Sweater Industry, Paper",Bangladesh Development Group/ Magura Group,Anywhere in Bangladesh,"Bachelor in Engineering (BEngg) in Computer Science & Engineering, Computer Science and Engineering or ICT",FullTime,,2,Tk. 30000 - 40000 (Monthly),2026-09-07,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1530542
Network Engineer (Technology),BGP; CCNA (Cisco Certified Network Associate); Firewall Administration; Network Administration; Network Security; OSPF; Switching & Routing; Vlan; Network Troubleshooting,"2 to 5 years The applicants should have experience in the following business area(s): Computer Hardware/Network Companies, IT Enabled Service",Blue Solutions Ltd.,Chattogram (Chattogram Sadar),"Bachelor of Science (BSc) in Computer Science & Engineering, Electrical & Electronic Engineering, Electronics and Telecommunication Engineering",FullTime,Office,1,Negotiable,2026-09-07,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1529673
প্রোগ্রামার,,NA,মাইক্রোক্রেডিট রেগুলেটরী অথরিটি,Dhaka,,FullTime,,1,--,2026-09-07,2026-10-16,bdjobs.com,https://bdjobs.com/h/details/282749
Full-Stack Developer / Team Leader,API Testing; Attention to details; Database Administrator (DBA); Full Stack Development; Java; Node.js; Problem solving and decision making; Python; React.js; System Architecture; Technical Skill; Code blocks; Technical Support Engineer; Software Development,"At least 3 years The applicants should have experience in the following business area(s): Investment/Merchant Banking, Group of Companies, Share Brokerage/ Securities House, Software Company, Business-to-Business (B2B) Software and Services Startup, Financial Technology (Fintech) Startup, Advertising Technology (AdTech) Startup, Agro based firms (incl. Agro Processing/Seed/GM)",One Direction Companies Limited,Dhaka (Dhaka Sadar),"Bachelor of Science (BSc) in Computer Science & Engineering, Information Technology, Computer Science",FullTime,Office,3,Negotiable,2026-09-06,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1530407
Network Engineer,Network Engineering; Supervision and Leadership; Technical Documentation; IT Troubleshooting; Network Monitoring; Network Designing,"2 to 6 years The applicants should have experience in the following business area(s): Group of Companies, Multinational Companies, Software Company, Technical Infrastructure",SIMEC System Ltd.,Dhaka (Uttara),Bachelor of Science (BSc) in EEE,Contract,Office,5,Negotiable,2026-09-06,2026-10-06,bdjobs.com,https://bdjobs.com/h/details/1530300
Data Artist (Associate) - Night Shift,Communication; Data analysis; Data quality assurance; Data Visualization; Hard Working; Microsoft Excel; Microsoft PowerPoint,NA,Catalyst Solutions,Dhaka (DOHS Baridhara),"Bachelor of Science (BSc) in Electrical & Electronic Engineering, Computer Science & Engineering, Electronics and Telecommunication Engineering, Statistics, Mathematics",FullTime,Office,10,Tk. 18000 - 25000 (Monthly),2026-09-06,2026-10-06,bdjobs.com,https://bdjobs.com/h/details/1530239
Executive / Senior Executive (TP-Link Product Management),Analytical Skill; Communication and interpersonal skill; IT product Knowledge; IT Product Management; IT Products Sales and Marketing; Leadership; Problem solving and decision making; Target Oriented; Teamwork and Cooperation,"2 to 3 years The applicants should have experience in the following business area(s): Computer Hardware/Network Companies, IT Enabled Service",Excel Technologies Ltd.,"Bogura, Chattogram, Feni, Khulna, Rangpur, Sylhet",Bachelor degree in any discipline Bachelor of Science (BSc) Bachelor in any discipline. BSc. in CSE/IT/EEE get preference Any professional certificate related to networking product get advantage.,FullTime,Office,1,Negotiable,2026-09-06,2026-09-25,bdjobs.com,https://bdjobs.com/h/details/1530234
Business Analyst,Business Process Development; ERP Implementation; ERP Solution; Stakeholder Management,3 to 6 years The applicants should have experience in the following business area(s): Group of Companies,Betopia Group,Dhaka (Banasree),Bachelor of Science (BSc) in Computer Science & Engineering Bachelor of Science (BSc) in Computer Science & Engineering/ Bachelor in Management Information Systems (MIS) or related field.,FullTime,Office,2,Negotiable,2026-09-06,2026-10-06,bdjobs.com,https://bdjobs.com/h/details/1530133
Senior Developer,API Integration; ERP Systems; odoo; Python,4 to 6 years The applicants should have experience in the following business area(s): Group of Companies,Betopia Group,Dhaka (Banasree),Bachelor of Science (BSc) in Computer Science & Engineering Bachelor of Science (BSc) in Computer Science & Engineering,FullTime,Office,2,Negotiable,2026-09-06,2026-10-06,bdjobs.com,https://bdjobs.com/h/details/1530125
Jr. Executive- IT (Network),Antivirus and Firewalls; Microsoft 365; Networking; Printer Troubleshooting; Change Management; Firewall; IT Asset Management; Network Infrastructure,"2 to 4 years The applicants should have experience in the following business area(s): IT Enabled Service, Group of Companies, Garments",Team Group,Dhaka (Kawran Bazar),"Bachelor of Science (BSc) in Computer Science & Engineering, Electronics and Telecommunication Engineering",FullTime,Office,1,Tk. 20000 - 30000 (Monthly),2026-09-06,2026-10-06,bdjobs.com,https://bdjobs.com/h/details/1530089
ERP Project Coordinator / Business Analyst,ERP Software; Quality Control Audit; Inspect; Implementation; Merchandising; Fabrication,At least 4 years,GFG International,Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering,FullTime,Office,1,Negotiable,2026-09-06,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1529946
Digital Marketing Executive,Search Engine Optimization (SEO); Graphic Design and Digital Content Creation,2 to 3 years The applicants should have experience in the following business area(s): Engineering Firms,Transpower Engineering Limited,Dhaka,BBA or BBS in Marketing (Training or certificate in Digital Marketing/SEO) Diploma Engineer in Computer Science (Training or certificate in Digital Marketing/SEO) Google or Meta certification will be ,FullTime,Office,2,Negotiable,2026-09-06,2026-10-06,bdjobs.com,https://bdjobs.com/h/details/1530296
UI/UX Designer,Adobe Illustrator; Adobe Photoshop; Digital Tools; Figma; Research Design; Analysis; UI; UX Design; Visualization; Visualizer; Cross-functional Collaboration; Information technology; Management; Responsive Webdesign; Usability Test,"At least 3 years The applicants should have experience in the following business area(s): Investment/Merchant Banking, Group of Companies, Share Brokerage/ Securities House, Advertising Agency, Software Company, E-commerce Startup, E-commerce, Financial Technology (Fintech) Startup, Development Agency",One Direction Companies Limited,Dhaka (Dhaka Sadar),"Bachelor of Science (BSc) in Computer Science & Engineering, Information Technology Bachelor of Arts (BA) in Fine Arts",FullTime,Office,1,Negotiable,2026-09-06,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1530411
Telesales Executive,Communication and interpersonal skill; Computer Literacy; Telecommunication; Client Relationship; Consultative sales skills; Customer Support through Phone; Lead Generation; Order processing; sales communication,"At least 1 year The applicants should have experience in the following business area(s): Healthcare Startup, Pharmaceutical/Medicine Companies, Telecommunication",HealthOS,Dhaka (Adabor),,FullTime,Office,15,Tk. 10000 - 10000 (Monthly),2026-09-05,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1529865
ISP Support Technician,LAN; WAN; Mikrotik; Optical Fiber Splicing; Switches; Routers; Client Support; IT Support Service; Technical Support Engineer,2 to 5 years The applicants should have experience in the following business area(s): ISP,Cyberlink Online Ltd,Dhaka (Nikunja),HSC,FullTime,Office,2,Tk. 15000 - 18000 (Monthly),2026-09-05,2026-09-25,bdjobs.com,https://bdjobs.com/h/details/1529812
Full Stack Developer,API Testing; Full Stack Development; Information technology; MySQL; Python,NA,AROSA LTD,Dhaka (DOHS Mohakhali),"Bachelor of Science (BSc) in Bachelor’s degree in Computer Science, Software Engineering, or a related field (preferred).",FullTime,Office,6,Negotiable,2026-09-05,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1529801
Website Developer,Elementor Pro; Shopify; Web; Website Development; WordPress; Web Design; Website Management,2 to 6 years The applicants should have experience in the following business area(s): Direct Selling/Marketing Service Company,Pathfinder Marketing,Anywhere in Bangladesh,"A degree, diploma, or relevant qualification in Web Development, Computer Science, Information Technology, Digital Technology, or a related field is preferred. Relevant certifications or practical tra",FullTime,Home,1,Tk. 15000 (Monthly),2026-09-04,2026-10-04,bdjobs.com,https://bdjobs.com/h/details/1529696
Assistant Manager/Sr. Officer - Corporate Sales,B2B Sales; Cloud Management; Corporate Sales; Client Acquisition; Stakeholder Management; Client Relationship,"2 to 5 years The applicants should have experience in the following business area(s): ISP, IT Enabled Service",ADN Telecom Limited,Dhaka,Bachelor of Science (BSc) Bachelor of Business Administration (BBA),FullTime,Office,1,Negotiable,2026-09-03,2026-10-03,bdjobs.com,https://bdjobs.com/h/details/1529632
Hardware Engineer (Information Technology),Hardware & Networking; Hardware Troubleshooting; IT Support Service,1 to 3 years The applicants should have experience in the following business area(s): Insurance,Sunflower Life Insurance Company Ltd.,Dhaka,"Bachelor`s degree in Computer Science & Engineering (CSE), Information Technology (IT), Computer Engineering, Electrical & Electronic Engineering (EEE), or a related discipline from a recognized unive",FullTime,,1,Negotiable,2026-09-03,2026-10-03,bdjobs.com,https://bdjobs.com/h/details/1529598
Senior SEO Manager,Data analysis and presentation; Google analytics; HTML5 & CSS3; Performance Monitoring; Search Engine Optimization (SEO),"At least 7 years The applicants should have experience in the following business area(s): Software Company, E-commerce",ChefOnline,Dhaka (GULSHAN 1),Bachelor of Science (BSc) in Computer Science & Engineering,FullTime,Office,2,Tk. 80000 - 150000 (Monthly),2026-09-03,2026-10-03,bdjobs.com,https://bdjobs.com/h/details/1529562
Manager - Digital Marketing Agency,Digital Marketing; SEO AND SMM; Client Relationship; Project Management,"At least 7 years The applicants should have experience in the following business area(s): Software Company, E-commerce, Advertising Agency",ChefOnline,Dhaka (GULSHAN 1),Bachelor of Business Administration (BBA) in Marketing,FullTime,Office,2,Negotiable,2026-09-03,2026-10-03,bdjobs.com,https://bdjobs.com/h/details/1529484
Service Engineer (IT / Hardware / Technical Support),IT Support Service; Client Relationship; Client Support; Networking,"1 to 2 years The applicants should have experience in the following business area(s): Wholesale, Retail Store, Trading or Export/Import, Direct Selling/Marketing Service Company, Chain shop, Importer",Computer Source Ltd.,Anywhere in Bangladesh,Diploma/Bachelor Degree in any discipline.,FullTime,,1,Negotiable,2026-09-03,2026-10-02,bdjobs.com,https://bdjobs.com/h/details/1528853
Senior Executive /Assistant Manager - Audio-Visual Solutions (Pre-Sales),Analytical Skill; Communication and interpersonal skill; Leadership; Problem solving and decision making; Problemsolving and decision making; Teamwork and Cooperation; Time Management and Prioritization,"3 to 5 years The applicants should have experience in the following business area(s): Computer Hardware/Network Companies, IT Enabled Service",Excel Technologies Ltd.,Dhaka,Bachelor of Science (BSc) in Electrical & Electronic Engineering Bachelor of Science (BSc) in Computer Science & Engineering Bachelor of Science (BSc) in Telecommunication Bachelor of Science (BSc) Ba,FullTime,,1,Negotiable,2026-09-03,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1529242
Software Programmer,HTML5 & CSS3; Java; JavaScript; PHP; SDLC; Software Development,2 to 3 years The applicants should have experience in the following business area(s): Software Company,Wheaton International School,Dhaka (Dhanmondi),"Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Information Technology Bachelor`s degree in Computer Science, Software Engineering, Information Technology, or a related fiel",FullTime,,2,Negotiable,2026-09-03,2026-10-03,bdjobs.com,https://bdjobs.com/h/details/1529266
Marketing Manager (Enterprise),Brand Strategy; Event Management; Market Research; Marketing Campaigns; Media Management,At least 8 years The applicants should have experience in the following business area(s): Telecommunication,Huawei Technologies Bangladesh Ltd.,Anywhere in Bangladesh,"Bachelor`s in Engineering or Business management. Preferable in EEE, CSE, ECE, ETE",FullTime,,1,--,2026-09-03,2026-10-03,bdjobs.com,https://bdjobs.com/h/details/1529229
Full-Stack Developer (React/Next.js/TypeScript & Go)-Remote,Full Stack Development; Next.js; ReactJS; TypeScript; Bootstrap; Graphic Design; HTML5 & CSS3; JavaScript; jQuery; PostgreSQL,At least 2 years The applicants should have experience in the following business area(s): Software Company,Colgis BD,Anywhere in Bangladesh,Bachelor of Science (BSc),FullTime,Home,1,Negotiable,2026-09-02,2026-10-02,bdjobs.com,https://bdjobs.com/h/details/1528908
Junior Application Analyst,Business Analysis; Communication and interpersonal skill; Functional Testing; Problem-solving skill; Prompt Engineering; Stakeholder Management,NA,Data Edge Limited,Dhaka (Baridhara J Block),"Bachelor of Science (BSc) in Computer Science & Engineering Bachelor’s degree in Computer Science, Software Engineering, Information Technology, Information Systems, or a related discipline.· A degree",FullTime,,3,Negotiable,2026-09-02,2026-10-02,bdjobs.com,https://bdjobs.com/h/details/1529005
Sr. Manager / Manager - IT,IT Support Service; Problem solving and decision making; Team Leading; Asset management; CyberSecurity; Disaster Recovery; IT Strategy; LAN; WAN,8 to 13 years The applicants should have experience in the following business area(s): Garments,NORP KNIT INDUSTRIES LIMITED,"Gazipur (Gazipur Sadar), Mymensingh (Bhaluka)",,FullTime,Office,1,Tk. 60000 - 70000 (Monthly),2026-09-02,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1528854
Technical Project Manager,JavaScript ES6; Python; .NET Core; Project Management; JIRA,"3 to 7 years The applicants should have experience in the following business area(s): Software Company, IT Enabled Service",Xpert Fintech Limited,Dhaka,"Bachelor of Science (BSc) in Computer Science, Information Technology Bachelor`s degree in Computer Science, Software Engineering, IT, Business Administration, or a related field. Master`s degree or P",FullTime,Office,1,Negotiable,2026-09-02,2026-10-02,bdjobs.com,https://bdjobs.com/h/details/1528958
Manager / Senior Manager (Sales & Marketing),Market Intelligence; Relationship Management; Sales; Sales Team Leadership,"8 to 12 years The applicants should have experience in the following business area(s): ISP, IT Enabled Service, Telecommunication",BRACNet Limited,Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering Master of Science (MSc) in Computer Science & Engineering Bachelor of Business Administration (BBA) in Marketing Master of Business Administ,FullTime,Office,1,Negotiable,2026-09-02,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1528844
Senior IT Infrastructure & Cloud Engineer,Cisco; Cloud Platform; hyper V; Microsoft Azure; Microsoft SQL Server (MSSQL); Microsoft Windows Server; VeeAM; VPN; ZAB ERP; Microsoft intune,"3 to 7 years The applicants should have experience in the following business area(s): BPO/ Data Entry Firm, Computer Hardware/Network Companies, Group of Companies, IT Enabled Service, Multinational Companies, Telecommunication, Manufacturing (FMCG)",Renowned European Company,Dhaka,Microsoft Certified: Azure Administrator Associate (AZ-104) Microsoft 365 Certified: Administrator Expert (MS-102) Microsoft Certified: Azure Security Engineer Associate (AZ-500) Cisco Certified Netwo,FullTime,Office,1,Negotiable,2026-09-02,2026-10-01,bdjobs.com,https://bdjobs.com/h/details/1528442
IT Manager,Cyber Security; IT Security; Project Manager (Software); Software Implementation; Team Leader (Software); Troubleshooting,"10 to 15 years The applicants should have experience in the following business area(s): Hotel, Property Management & Preservation Services, Resort",Quality Hospitality Limited (Q-HOTEL Dhaka),Dhaka,"Bachelor`s Degree or Diploma in Information Technology, Computer Science, Computer Engineering, or a related field from a recognized university.",FullTime,Office,1,Negotiable,2026-09-02,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1528684
Assistant Manager/ Manager Digital Marketing,Digital Marketing (Social Media Marketing); Email Marketing; Google Ads; Graphic Design; SEO and Digital Marketing; Digital Marketing,"3 to 6 years The applicants should have experience in the following business area(s): Developer, Real Estate, Resort",Mangrove Hotel & Resort Ltd.,Dhaka (Dhanmondi 27),Bachelor of Business Administration (BBA) in Marketing Master of Information & Communication Technology (MICT) in Computer Science & Engineering,FullTime,Office,1,Negotiable,2026-09-02,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1528015
Assistant Manager - Electrical (Industrial Automation),Communication and interpersonal skill; Industrial Automation; Leadership; PLC and Automation; Troubleshooting; Process optimization; Root Cause Analysis,"At least 7 years The applicants should have experience in the following business area(s): Cement, Manufacturing (FMCG), Manufacturing (Light Engineering and Heavy Industry), Power, Steel, Tiles/Ceramic, Tobacco, University",Abul Khair Group,Cumilla (Laksam),Bachelor in Engineering (BEngg) in Electrical & Electronic Engineering B.Sc. in Electrical & Electronic Engineering (EEE) from any reputed public Engineering university.,FullTime,Office,1,Negotiable,2026-09-02,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1528767
Senior Technical Support Commercial Operator,Crm handling; Customer Support; Sales & Marketing; Team Management & Supervision; Technical Sales; IT Marketing; Technical Service; Technical Support,"At least 5 years The applicants should have experience in the following business area(s): Business-to-Business (B2B) Software and Services Startup, Software Company",Ultra Group,Anywhere in Bangladesh,,FullTime,Home,1,Tk. 30000 - 60000 (Monthly),2026-09-01,2026-10-01,bdjobs.com,https://bdjobs.com/h/details/1528426
Junior Support Engineer,Cyber Security; IT Security; LAN; WAN; Network Troubleshooting; Technical Documentation,"At most 3 years The applicants should have experience in the following business area(s): Software Company, Technical Infrastructure Freshers are also encouraged to apply.",SIMEC System Ltd,Dhaka (Uttara),"Bachelor of Science (BSc) in Computer Science & Engineering, Electrical and Electronics Engineering",Contract,Office,2,Negotiable,2026-09-01,2026-10-01,bdjobs.com,https://bdjobs.com/h/details/1528187
Tele Sales Executive,Sales & Marketing; Sales Target Achievement; Sales Development; Call Center Operation,"At most 1 year The applicants should have experience in the following business area(s): E-commerce, E-commerce Startup, F-commerce",Herbheezz,Chattogram (Chattogram Sadar),HSC or Bachelor`s degree in any discipline.,FullTime,Office,1,Negotiable,2026-09-01,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1528059
Computer Operator,Coordination; Data Entry - English & Bengali; Data Entry; Data Management,At least 1 year Freshers are also encouraged to apply.,Five & Five Dyeing and Printing Works Ltd,Narsingdi,Bachelor of Business Administration (BBA) Educational Qualification:Minimum Bachelor degree/Bachelor of Business Administration (BBA)Preference for candidates with IT/ computer training,FullTime,Office,1,Negotiable,2026-09-01,2026-10-01,bdjobs.com,https://bdjobs.com/h/details/1528186
"Full-Stack TypeScript Developer (Remote, Full-Time)",Full Stack Development; JIRA; Node.js; TypeScript,"At least 3 years The applicants should have experience in the following business area(s): Business-to-Business (B2B) Software and Services Startup, IT Enabled Service, Software Company",Plug & Solve,Anywhere in Bangladesh,,FullTime,Home,1,Tk. 60000 - 72000 (Monthly),2026-08-31,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1527922
IT Executive/IT Officer,Technical Skill; IT System Management; Hardware & Networking,NA,Gateway Global International,Dhaka (Uttara),,FullTime,Office,1,Tk. 20000 (Monthly),2026-08-31,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1527994
Assistant Manager - AI & IT (Python & Software Development),API Integration; Artificial intelligence (AI); Generative AI; Machine Learning; Python; Software Development; SQL Database; version control systems (GIT); Web ERP Development; Computer Engineering; Cost optimization; ERP Software; Operations; Project Manager (Software),"At least 5 years The applicants should have experience in the following business area(s): Software Company, Logistic/Courier/Air Express Companies, Garments, Textile, Agro based firms (incl. Agro Processing/Seed/GM), Garments Accessories, Washing Factory",A Leading Diversified Business Group in Bangladesh,Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering BSc in Computer Science & Engineering (CSE) from a reputed public/private university.,FullTime,Office,1,Negotiable,2026-08-31,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1528068
Sr.System/System Engineer,CCNA (Cisco Certified Network Associate); CCNP; Juniper; MTCNA; MTCRE,"2 to 3 years The applicants should have experience in the following business area(s): Software Company, IT Enabled Service, ISP",Alo Communications Limited,Dhaka,"Diploma in Engineering Bachelor of Science (BSc) CISCO,Mikrotik & Juniper Vendor Certificate",FullTime,Office,2,Negotiable,2026-08-31,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1527860
PHP Laravel Developer,Full Stack Development; Laravel Framework; Oracle; PHP MySql; ReactJS; Laravel; MySQL; PHP,"At least 3 years The applicants should have experience in the following business area(s): Development Agency, IT Enabled Service, Software Company",Nano Information Technology,Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering,FullTime,Office,4,Tk. 30000 - 60000 (Monthly),2026-08-31,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1527718
Software Developer (Full-Stack & Mobile Application),Mobile App Development; Software Development; Backend Development; Flutter; RESTful APIs; Web Application Development,NA,100% Export Oriented Knit Garments Industries,Dhaka,,FullTime,Office,1,Negotiable,2026-08-31,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1527679
Lecturer (ICT),Lesson Planning; Curriculum Development; Teaching; Training; MS Office,"1 to 3 years The applicants should have experience in the following business area(s): University, College, School Freshers are also encouraged to apply.",Cambrian School & College,Dhaka (Mirpur),"Minimum: Bachelor’s/Master’s Degree in Computer Science, Computer Science & Engineering (CSE), Information & Communication Technology (ICT), Information Technology (IT), or a relevant discipline from ",FullTime,Office,1,Negotiable,2026-08-31,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1527945
Lecturer (ICT),Education; Teaching; Training; curriculum management,"1 to 3 years The applicants should have experience in the following business area(s): University, College, School Freshers are also encouraged to apply.",Akhaura Cambrian School & College,Brahmanbaria (Akhaura),"Minimum: Bachelor’s/Master’s Degree in Computer Science, Computer Science & Engineering (CSE), Information & Communication Technology (ICT), Information Technology (IT), or a relevant discipline from ",FullTime,Office,1,Negotiable,2026-08-31,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1527736
Business Analyst,Business Analysis; Client Acquisition; Market Research; Data analysis; Marketing Campaigns,"1 to 2 years The applicants should have experience in the following business area(s): E-commerce, Online Retail Startup",BRONNE LTD.,Dhaka (Baridhara J Block),"Bachelor of Business Administration (BBA) in MIS Bachelor of Science (BSc) in Applied Statistics and Data Science, Data Science Master of Science (MSc) in Data Science Master of Business Administratio",FullTime,Office,1,Tk. 15000 - 25000 (Monthly),2026-08-31,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1528120
.NET Core Developer,ASP.NET Core; ASP.NET Web API; Blazor; CICD pipelines; Entity Framework Core; Git; JavaScript; SaaS; SQL Server; Web API; .NET Core; MySQL,"2 to 4 years The applicants should have experience in the following business area(s): IT Enabled Service, Software Company",EZZHA IT,Dhaka (Elephant Road),Bachelor of Science (BSc) in Computer Science & Engineering Candidates with an ISDB-BISEW background are encouraged to apply.,FullTime,Office,1,Negotiable,2026-08-30,2026-09-29,bdjobs.com,https://bdjobs.com/h/details/1527601
Network Engineer / Senior Network Engineer,IP Routing; ISP Network Administration,4 to 5 years The applicants should have experience in the following business area(s): IT Enabled Service,Nexdecade Technology (Pvt.) Ltd,Dhaka,"Bachelor of Science (BSc) in Computer Science & Engineering, Electrical & Electronic Engineering",FullTime,Office,2,Negotiable,2026-08-30,2026-09-29,bdjobs.com,https://bdjobs.com/h/details/1527558
Oracle DBA Administrator,Oracle Database; Database Administration; SQL,"3 to 5 years The applicants should have experience in the following business area(s): Hospital, Software Company",Divine Mercy Hospital Ltd.,Gazipur (Kaliganj),Bachelor of Science (BSc) in Computer Science & Engineering,FullTime,Office,1,Negotiable,2026-08-30,2026-09-29,bdjobs.com,https://bdjobs.com/h/details/1527320
Computer Operator,Data analysis; Data Collection; Data Management; Data Validation; Lead Generation,NA,DYNAMIC SYNERGY LTD,Dhaka (Uttara Sector 3),Diploma in Computer Diploma in Mechanical Bachelor of Science (BSc) in CSE/Machanical- Running,FullTime,Office,5,Negotiable,2026-08-30,2026-09-29,bdjobs.com,https://bdjobs.com/h/details/1527336
Assistant Manager - Digital Marketing,Digital Marketing (Social Media Marketing); Email Marketing; facebook ads; Google Ads; SMS Marketing; CRM; Google analytics; Lead Generation; Meta Marketing; Search Engine Optimization (SEO); Social Media Management,"1 to 3 years The applicants should have experience in the following business area(s): Real Estate, Developer",Sheba Holdings Limited,Dhaka,"Bachelor of Business Administration (BBA) Bachelor’s degree in Marketing, Business Administration, Communications, Computer Science or a relevant field. Professional certification/course in Digital Ma",FullTime,Office,1,Negotiable,2026-08-30,2026-09-29,bdjobs.com,https://bdjobs.com/h/details/1527561
General Manager - Audit,Internal Audit; Cost control; Risk Management; Quality Control Audit; Inspect; Reporting and Documentation; Stakeholder Communication,At least 15 years,Noman Group.,Gazipur (Sreepur),CA / ACCA / CMA / MBA / M.Com or equivalent. Professional accounting qualification is highly preferred. Textile Engineering alongside an audit background is a strong plus. CIA (Certified Internal Audi,FullTime,,1,Negotiable,2026-08-30,2026-09-29,bdjobs.com,https://bdjobs.com/h/details/1527243
Odoo Functional Specialist,ERP Software; Microsoft Excel; odoo; Odoo installation; Odoo Developer; ERP Implementation,3 to 5 years The applicants should have experience in the following business area(s): Group of Companies,Total Image Group,Anywhere in Bangladesh,Odoo Certification / Odoo Functional Certification ERP Implementation ERP Functional Consultant Odoo Implementation Business Process Management Data Migration / ERP Data Migration,FullTime,Home,1,Tk. 130000 - 180000 (Monthly),2026-08-29,2026-09-28,bdjobs.com,https://bdjobs.com/h/details/1527197
