position,skills,experience,company_name,job_locations,education,job_type,workplace,vacancies,salary,posted_date,deadline,source,job_url
Digital Marketing Executive,Content Creation; Digital Marketing; Digital Marketing (Social Media Marketing); Live Video; Content Development; Content Management; SEO and Digital Marketing; Social Media Management; Search Engine Optimization (SEO); Canva Pro,"At least 2 years The applicants should have experience in the following business area(s): Garments, Online Retail Startup, Shop/Showroom, Textile",FIRST TAKE,Dhaka (Shahbag),Diploma in Computer Science/Computer Technology অথবা সমমানের শিক্ষাগত যোগ্যতা।,FullTime,Office,6,Negotiable,2026-09-16,2026-10-16,bdjobs.com,https://bdjobs.com/h/details/1534431
Jr. Product Analyst,ChatGPT; Data Analyst; Figma; MS Power BI; n8n; Product Management; Product Market Analysis; Product strategy; Software Project Management; Wireframe,"At least 1 year The applicants should have experience in the following business area(s): IT Enabled Service, Software Company",Bdjobs.com Limited,Dhaka,"Bachelor of Business Administration (BBA) Bachelor of Science (BSc) in Mathematics, Statistics, Computer Science & Engineering, Economics",FullTime,Office,2,Negotiable,2026-09-15,2026-09-25,bdjobs.com,https://bdjobs.com/h/details/1534108
"Assistant Manager, ERP Operations & Implementation",Tally ERP Operator; ERP Software; SQL; Database,"At least 3 years The applicants should have experience in the following business area(s): E-commerce, Food (Packaged), Manufacturing (FMCG), Multinational Companies, Software Company",Ghorer Bazar,Dhaka,Bachelor in Engineering (BEngg) in Computer Science & Engineering,FullTime,Office,1,Negotiable,2026-09-15,2026-10-14,bdjobs.com,https://bdjobs.com/h/details/1533279
Senior Android Developer,Android application development; API Integration; Web Technologies,At least 4 years The applicants should have experience in the following business area(s): IT Enabled Service,Social Marketing Company,Dhaka,BSc in CSE/CS/IT/ICE from a reputed institution; candidates with an MBA and/or PMP certification will be given preference,Contract,Office,1,Negotiable,2026-09-15,2026-09-26,bdjobs.com,https://bdjobs.com/h/details/1534075
Manager - NOC,CCNA (Cisco Certified Network Associate); MTCNA; ISP NOC; Leadership; NOC,"8 to 10 years The applicants should have experience in the following business area(s): ISP, IT Enabled Service, Telecommunication",BD Hub Ltd,Dhaka (GULSHAN 1),Bachelor of Science (BSc) in CSE/TE,Freelance,Office,1,Negotiable,2026-09-15,2026-10-15,bdjobs.com,https://bdjobs.com/h/details/1534000
System Engineer,Telecommunication; Hardware and IP Networking; Network Troubleshooting,NA,Digital Cloud Communications,Dhaka (Mohammadpur),"Bachelor of Science (BSc) in Computer Science & Engineering, Electronics and Telecommunication Engineering Diploma in Engineering in Telecommunication",FullTime,Office,1,Negotiable,2026-09-15,2026-10-14,bdjobs.com,https://bdjobs.com/h/details/1533471
Deputy Manager / Manager - Product Management (Computer Accessories),Analytical Skill; Communication and interpersonal skill; Fluency in Bengali and English.; IT product Knowledge; Problem solving and decision making; Time Management and Prioritization,"4 to 5 years The applicants should have experience in the following business area(s): Computer Hardware/Network Companies, IT Enabled Service",Excel Technologies Ltd.,Dhaka,Bachelor degree in any discipline Bachelor in any discipline. BSc. in CSE get preference.,FullTime,Office,1,Negotiable,2026-09-15,2026-10-10,bdjobs.com,https://bdjobs.com/h/details/1533234
Executive - Client & Vendor Relations (Night Shift Only),Client Relationship; Client Service; Property Management; Property management systems; Property Preservation; Vendor Acquisition; Vendor Development; Vendor Management; Vendor Negotiation; Vendor Sourcing; Monitoring and Evaluation; Reporting and Documentation; Coordination; IELTS,1 to 2 years The applicants should have experience in the following business area(s): Property Management & Preservation Services Freshers are also encouraged to apply.,PropTech 4.0,Dhaka (DOHS Mirpur),Bachelor of Business Administration (BBA) Bachelor of Science (BSc) Bachelor in Engineering (BEngg) Bachelor of Real Estate (BRE) Bachelor of Business Studies (BBS) Bachelor’s degree in any discipline,FullTime,Office,10,Tk. 22000 - 35000 (Monthly),2026-09-15,2026-10-14,bdjobs.com,https://bdjobs.com/h/details/1533526
Territory Sales Manager (VTS Services),Sales & Marketing; Sales Target Achievement; Consumer Durables - Sales & Marketing; Market Research; Area; Territory Marketing,"At most 3 years The applicants should have experience in the following business area(s): Manufacturing (Light Engineering and Heavy Industry), IT Enabled Service, Business-to-Business (B2B) Software and Services Startup, Battery, Storage cell, Dry cell (Battery)",Bondstein Technologies Ltd.,"Barishal, Bogura, Chattogram, Cumilla, Dhaka, Feni, Gazipur, Khulna, Mymensingh, Rangpur, Sylhet",,FullTime,,1,Tk. 22000 - 25000 (Monthly),2026-09-15,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1533788
IT Support Expert,Operating Systems; Network Infrastructure; LAN; WAN; IT Asset Management; Vendor Management,"2 to 4 years The applicants should have experience in the following business area(s): Training Institutes, Software Company, IT Enabled Service, Multinational Companies, Consulting Firms, Hospital, Real Estate, Group of Companies, Technical Infrastructure",Simec Group,Dhaka (Uttara),Diploma in Computer,FullTime,Office,1,Negotiable,2026-09-15,2026-10-15,bdjobs.com,https://bdjobs.com/h/details/1533707
